Test #,Test Name,Count,Mean,SD,Min,Max,Range,QC-Lo-Lim (Mean-4σ),QC-Hi-Lim (Mean+4σ),Units
1010,TxBrd_DC90_Relay21_Droop,123,0.0025,0.0002662,0.0018,0.0032,0.0014,0.0014352,0.0035648,V
1020,TxBrd_DC90_Relay22_Droop,123,0.0025,0.0002333,0.0019,0.0032,0.0013,0.0015668,0.0034332,V
1030,TxBrd_DC90_Relay23_Droop,123,0.0025,0.0002778,0.0019,0.0033,0.0014,0.0013888,0.0036112,V
1040,TxBrd_DC90_Relay24_Droop,123,0.0025,0.000234,0.0019,0.0031,0.0011,0.001564,0.003436,V
1050,TxBrd_DC90_Relay25_Droop,123,0.0025,0.0002505,0.0018,0.0031,0.0012,0.001498,0.003502,V
1060,TxBrd_DC90_Relay26_Droop,123,0.0025,0.0002397,0.0019,0.0032,0.0013,0.0015412,0.0034588,V
1070,TxBrd_DC90_Relay27_Droop,123,0.0026,0.0002329,0.002,0.003,0.0011,0.0016684,0.0035316,V
1080,TxBrd_DC90_Relay28_Droop,123,0.0025,0.0002439,0.0019,0.003,0.0011,0.0015244,0.0034756,V
1090,TxBrd_DC90_Relay29_Droop,123,0.0025,0.0002436,0.002,0.0033,0.0013,0.0015256,0.0034744,V
1100,TxBrd_DC90_Relay30_Droop,123,0.0025,0.00024,0.0019,0.0034,0.0014,0.00154,0.00346,V
1110,TxBrd_DC90_Relay31_Droop,123,0.0025,0.0002535,0.0018,0.0032,0.0014,0.001486,0.003514,V
1120,TxBrd_DC90_Relay32_Droop,123,0.0025,0.0002442,0.0019,0.0032,0.0013,0.0015232,0.0034768,V
1130,TxBrd_P174_6571_DIO_0_HSD_HI_Current,123,0.003,1.51E-05,0.0029,0.003,7.92E-05,0.0029396,0.0030604,A
1140,TxBrd_P174_6571_DIO_4_HSD_HI_Current,123,0.003,1.33E-05,0.003,0.003,6.27E-05,0.0029468,0.0030532,A
1150,TxBrd_P174_6571_DIO_8_HSD_HI_Current,123,0.0029,1.83E-05,0.0029,0.003,9.30E-05,0.0028268,0.0029732,A
1160,TxBrd_P174_6571_DIO_12_HSD_HI_Current,123,0.0029,1.88E-05,0.0029,0.003,6.45E-05,0.0028248,0.0029752,A
1170,TxBrd_P174_6571_DIO_16_HSD_HI_Current,123,0.003,3.30E-05,0.0029,0.003,0.0001139,0.002868,0.003132,A
1180,TxBrd_P174_6571_DIO_20_HSD_HI_Current,123,0.003,2.97E-05,0.003,0.0031,9.12E-05,0.0028812,0.0031188,A
