Test Number,Test Name,Pin,Published Data Id,Low Limit,High Limit,Scaling Factor,Base Units,Software Bin,Evaluation Type,Test Data Source,Export Data To
620,TxBrd_DC30V_SL10_CH20_LO_Current,DC30V_SL10_CH20,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
630,TxBrd_DC30V_SL04_CH2_LO_Current,DC30V_SL04_CH2,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
640,TxBrd_DC30V_SL04_CH4_LO_Current,DC30V_SL04_CH4,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
650,TxBrd_DC30V_SL04_CH6_LO_Current,DC30V_SL04_CH6,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
660,TxBrd_DC30V_SL04_CH8_LO_Current,DC30V_SL04_CH8,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
670,TxBrd_DC30V_SL04_CH10_LO_Current,DC30V_SL04_CH10,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
680,TxBrd_DC30V_SL04_CH12_LO_Current,DC30V_SL04_CH12,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
690,TxBrd_DC30V_SL04_CH14_LO_Current,DC30V_SL04_CH14,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
700,TxBrd_DC30V_SL04_CH16_LO_Current,DC30V_SL04_CH16,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
710,TxBrd_DC30V_SL04_CH18_LO_Current,DC30V_SL04_CH18,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
720,TxBrd_DC30V_SL04_CH20_LO_Current,DC30V_SL04_CH20,DC30_LO_Current,0.0005,0.0015,,A,,Numeric Limit,,
730,TxBrd_DC90V_SL23_1A_Voltage,DC90V_SL23_1A,Voltage,0.3,5,,V,,Numeric Limit,,
740,TxBrd_DC90V_SL23_2A_Voltage,DC90V_SL23_2A,Voltage,0.3,5,,V,,Numeric Limit,,
750,TxBrd_DC90V_SL23_3A_Voltage,DC90V_SL23_3A,Voltage,0.3,5,,V,,Numeric Limit,,
760,TxBrd_DC90V_SL23_4A_Voltage,DC90V_SL23_4A,Voltage,0.3,5,,V,,Numeric Limit,,
