<SemiconductorModuleTests>
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90V_SL23_2B_Voltage	780	DC90V_SL23_2B	0.3	5.1		V	Numeric Limit		Voltage	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90V_SL23_3B_Voltage	790	DC90V_SL23_3B	0.3	5.1		V	Numeric Limit		Voltage	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90V_SL23_4B_Voltage	800	DC90V_SL23_4B	0.3	5.1		V	Numeric Limit		Voltage	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay1_Droop	810	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay1_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay2_Droop	820	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay2_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay3_Droop	830	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay3_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay4_Droop	840	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay4_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay5_Droop	850	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay5_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay6_Droop	860	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay6_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay7_Droop	870	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay7_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay8_Droop	880	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay8_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay9_Droop	890	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay9_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay10_Droop	900	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay10_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay11_Droop	910	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay11_Droop	
	TB_Checker	DC90 Open Check	ID#:8RGn0zJ08RGJywIAAQ0rpD	TxBrd_DC90_Relay12_Droop	920	P143_4081_DMM	0.001	0.5		V	Numeric Limit		Relay12_Droop	
