--------------------------------------------------------------------------------
File Name:                	TXBoard1.stdf
Lot ID:                   	Default

Test #   Test Name                                   Count         Mean           SD           Min          Max        Range    QC-Lo-Lim    QC-Hi-Lim    Units   
   780   TxBrd_DC90V_SL23_2B_Voltage                    60       5.0000   0.1165E-03        4.9998       5.0004   0.5846E-03        4.500        5.500   V
   790   TxBrd_DC90V_SL23_3B_Voltage                    60       5.0000   0.3874E-06        5.0000       5.0000   0.0019E-03        4.500        5.500   V
   800   TxBrd_DC90V_SL23_4B_Voltage                    60       5.0000   0.1035E-03        4.9998       5.0002   0.4234E-03        4.500        5.500   V
   810   TxBrd_DC90_Relay_Droop                         60       0.0764       0.0018        0.0741       0.0786       0.0045        0.001        0.500   V
   820   TxBrd_P174_6571_DIO_0_HSD_HI_Current           60       0.0030   0.0113E-03        0.0030       0.0030   0.0408E-03        0.002        0.004   A
   830   TxBrd_P174_6571_DIO_4_HSD_HI_Current           60       0.0030   0.0065E-03        0.0030       0.0030   0.0309E-03        0.002        0.004   A
   840   TxBrd_P174_6571_DIO_8_HSD_HI_Current           60       0.0029   0.0163E-03        0.0029       0.0030   0.0589E-03        0.002        0.004   A
   850   TxBrd_P174_6571_DIO_12_HSD_HI_Current          60       0.0029   0.0198E-03        0.0029       0.0030   0.0573E-03        0.002        0.004   A
   860   TxBrd_P174_6571_DIO_16_HSD_HI_Current          60       0.0030   0.0415E-03        0.0029       0.0030   0.1021E-03        0.002        0.004   A
   870   TxBrd_P174_6571_DIO_20_HSD_HI_Current          60       0.0030   0.0270E-03        0.0030       0.0031   0.0899E-03        0.002        0.004   A
   880   TxBrd_P174_6571_DIO_24_HSD_HI_Current          60       0.0030   0.0138E-03        0.0029       0.0030   0.0674E-03        0.002        0.004   A
   890   TxBrd_P174_6571_DIO_28_HSD_HI_Current          60       0.0030   0.0069E-03        0.0030       0.0030   0.0366E-03        0.002        0.004   A
   900   TxBrd_P166_6571_DIO_0_HSD_HI_Current           60       0.0030   0.0323E-03        0.0029       0.0030   0.0870E-03        0.002        0.004   A
   910   TxBrd_P166_6571_DIO_4_HSD_HI_Current           60       0.0029   0.0345E-03        0.0029       0.0030   0.0924E-03        0.002        0.004   A
   920   TxBrd_P166_6571_DIO_8_HSD_HI_Current           60       0.0030   0.0336E-03        0.0029       0.0030   0.1015E-03        0.002        0.004   A
   930   TxBrd_P166_6571_DIO_12_HSD_HI_Current          60       0.0030   0.0077E-03        0.0030       0.0030   0.0357E-03        0.002        0.004   A
   940   TxBrd_P166_6571_DIO_16_HSD_HI_Current          60       0.0030   0.0116E-03        0.0030       0.0030   0.0366E-03        0.002        0.004   A
   950   TxBrd_P166_6571_DIO_20_HSD_HI_Current          60       0.0029   0.0078E-03        0.0029       0.0030   0.0323E-03        0.002        0.004   A
   960   TxBrd_P166_6571_DIO_24_HSD_HI_Current          60       0.0030   0.0170E-03        0.0029       0.0030   0.0527E-03        0.002        0.004   A
   970   TxBrd_P166_6571_DIO_28_HSD_HI_Current          60       0.0029   0.0285E-03        0.0029       0.0030   0.0766E-03        0.002        0.004   A
   980   TxBrd_P170_6571_DIO_0_HSD_HI_Current           60       0.0030   0.0354E-03        0.0029       0.0030   0.1020E-03        0.002        0.004   A
   990   TxBrd_P170_6571_DIO_4_HSD_HI_Current           60       0.0030   0.0107E-03        0.0029       0.0030   0.0689E-03        0.002        0.004   A
